task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
initialize classifier,2024-05-30T00:22:52,Emotion_classification,bc9bf0c9-1673-41c1-9f8f-955e9f4bca1d,7.277159929275513,7.430649183488707e-05,1.0207864098253444e-05,62.5,0.0,141.20075225830078,0.0001263755104608006,0,0.0002854819086153839,0.0004118574190761845,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Emotion label classification,2024-05-30T01:54:49,Emotion_classification,bc9bf0c9-1673-41c1-9f8f-955e9f4bca1d,5516.201174020767,0.05631315067788897,1.0208688267826229e-05,62.5,0.0,141.20075225830078,0.09576733142551448,0,0.21635867971466538,0.31212601114017985,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
