task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Argparse,2024-05-31T02:10:40,Emotion_plotting,5188e86d-5dc6-48e9-a0e7-2d668303fe10,0.00474858283996582,6.325568132574991e-08,8.975728448435947e-06,62.5,0.0,141.20075225830078,1.1749565601348877e-07,0,2.3311061013373545e-07,3.506062661472242e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
read emotion data,2024-05-31T02:10:40,Emotion_plotting,5188e86d-5dc6-48e9-a0e7-2d668303fe10,0.003719806671142578,3.670266225891387e-08,9.186735282163363e-06,62.5,0.0,141.20075225830078,6.705108616087173e-08,0,1.3638018044730412e-07,2.0343126660817585e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
plot emotion distribution,2024-05-31T02:10:41,Emotion_plotting,5188e86d-5dc6-48e9-a0e7-2d668303fe10,1.1991374492645264,1.2219843108724062e-05,1.0203364979765718e-05,62.5,0.0,141.20075225830078,2.0789831048912473e-05,0,4.694090041205073e-05,6.773073146096321e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
plot relative frequency,2024-05-31T02:10:42,Emotion_plotting,5188e86d-5dc6-48e9-a0e7-2d668303fe10,0.9237141609191895,9.425683235815332e-06,1.0205044961133859e-05,62.5,0.0,141.20075225830078,1.6033703254328832e-05,0,3.620988239574671e-05,5.224358565007555e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
