task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load vectorizer,2024-05-31T01:26:47,MLP classification,022273c8-ca0a-41cc-838a-ecff38e46392,0.01427006721496582,1.6680243500290157e-07,1.0006867299001774e-05,62.5,0.0,141.20075225830078,2.8779937161339656e-07,0,6.367338512518472e-07,9.245332228652438e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
load data,2024-05-31T01:26:48,MLP classification,022273c8-ca0a-41cc-838a-ecff38e46392,0.37003231048583984,3.7721727316823472e-06,1.0198225471642392e-05,62.5,0.0,141.20075225830078,6.419821745819516e-06,0,1.4488140495654987e-05,2.0907962241474504e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
split data,2024-05-31T01:26:48,MLP classification,022273c8-ca0a-41cc-838a-ecff38e46392,0.003265380859375,2.8425571988890768e-08,9.137453272171407e-06,62.5,0.0,141.20075225830078,5.2220291561550786e-08,0,1.0533367749303559e-07,1.5755396905458723e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
transform data,2024-05-31T01:26:53,MLP classification,022273c8-ca0a-41cc-838a-ecff38e46392,4.949349403381348,5.0503248060798174e-05,1.0206962239130882e-05,62.5,0.0,141.20075225830078,8.589908066723081e-05,0,0.00019402447496911463,0.00027992355563634543,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
initiate MLP classifier,2024-05-31T01:26:53,MLP classification,022273c8-ca0a-41cc-838a-ecff38e46392,0.001104116439819336,9.957402681269622e-09,8.195520780153041e-06,62.5,0.0,141.20075225830078,1.9777152273389546e-08,0,3.541358635175294e-08,5.5190738625142486e-08,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
train MLP classifier,2024-05-31T01:26:56,MLP classification,022273c8-ca0a-41cc-838a-ecff38e46392,3.0941312313079834,3.1570081031107454e-05,1.020747479489566e-05,62.5,0.0,141.20075225830078,5.369345761007734e-05,0,0.00012128953206449753,0.00017498298967457484,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
evaluate MLP classifier,2024-05-31T01:26:56,MLP classification,022273c8-ca0a-41cc-838a-ecff38e46392,0.16507267951965332,1.6798885425836082e-06,1.0184412006441679e-05,62.5,0.0,141.20075225830078,2.8618259562386507e-06,0,6.449265745163781e-06,9.311091701402405e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
save MLP classifier,2024-05-31T01:26:56,MLP classification,022273c8-ca0a-41cc-838a-ecff38e46392,0.006311893463134766,6.173087445138529e-08,9.777133661919157e-06,62.5,0.0,141.20075225830078,1.0809964603848373e-07,0,2.3405509712119948e-07,3.421547431596561e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
