task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load vectorizer,2024-05-31T01:26:36,LR classification,af519299-019a-4a5e-8044-66b5dc89347b,0.012467384338378906,1.4322546099671642e-07,9.859527055431267e-06,62.5,0.0,141.20075225830078,2.4940818548202516e-07,0,5.44445315813391e-07,7.938535012954162e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
load data,2024-05-31T01:26:36,LR classification,af519299-019a-4a5e-8044-66b5dc89347b,0.3548007011413574,3.6200260951171e-06,1.0197420424575934e-05,62.5,0.0,141.20075225830078,6.160868538750543e-06,0,1.3903792942460313e-05,2.0064661481210853e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
split data,2024-05-31T01:26:36,LR classification,af519299-019a-4a5e-8044-66b5dc89347b,0.0029740333557128906,2.7024062111293093e-08,9.213715803092592e-06,62.5,0.0,141.20075225830078,4.9240059322781425e-08,0,1.0054578306153428e-07,1.4978584238431401e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
transform data,2024-05-31T01:26:41,LR classification,af519299-019a-4a5e-8044-66b5dc89347b,4.933868885040283,5.034442803083194e-05,1.0206809172225515e-05,62.5,0.0,141.20075225830078,8.562965939442317e-05,0,0.00019341360696942047,0.0002790432663638436,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
train LR classifier,2024-05-31T01:26:41,LR classification,af519299-019a-4a5e-8044-66b5dc89347b,0.03522300720214844,3.570067823921902e-07,1.0124374411187917e-05,62.5,0.0,141.20075225830078,6.106537249353185e-07,0,1.3681221310889787e-06,1.9787758560242566e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
evaluate LR classifier,2024-05-31T01:26:41,LR classification,af519299-019a-4a5e-8044-66b5dc89347b,0.03681492805480957,3.722178913537796e-07,1.012921072470105e-05,62.5,0.0,141.20075225830078,6.363872024748072e-07,0,1.426699027024371e-06,2.0630862294991918e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
save LR classifier,2024-05-31T01:26:41,LR classification,af519299-019a-4a5e-8044-66b5dc89347b,0.0032825469970703125,3.042258993668826e-08,9.380400695567987e-06,62.5,0.0,141.20075225830078,5.477004581027549e-08,0,1.1385276309282353e-07,1.6862280890312612e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
