task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load data,2024-05-31T01:26:18,Data vectorization,69a71410-4908-4b07-88a7-0cd99995272d,0.3791689872741699,3.890900554923264e-06,1.019711747335339e-05,62.5,0.0,141.20075225830078,6.622518930170271e-06,0,1.4943514142601088e-05,2.156603307277136e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
split data,2024-05-31T01:26:18,Data vectorization,69a71410-4908-4b07-88a7-0cd99995272d,0.0035436153411865234,3.20995242332293e-08,9.198275800336857e-06,62.5,0.0,141.20075225830078,5.870643589231672e-08,0,1.1921109025934185e-07,1.7791752615165603e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
initiate vectorizer,2024-05-31T01:26:18,Data vectorization,69a71410-4908-4b07-88a7-0cd99995272d,0.0011827945709228516,9.095402229017902e-09,7.652734593937553e-06,62.5,0.0,141.20075225830078,1.883341206444672e-08,0,3.157953026402516e-08,5.041294232847188e-08,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
fit transform vectorizer,2024-05-31T01:26:29,Data vectorization,69a71410-4908-4b07-88a7-0cd99995272d,10.959180116653442,0.00011185563435214062,1.0207898024219303e-05,62.5,0.0,141.20075225830078,0.00019023634493350983,0,0.000429744113513766,0.0006199804584472758,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
save vectorizer,2024-05-31T01:26:29,Data vectorization,69a71410-4908-4b07-88a7-0cd99995272d,0.0078582763671875,7.862892674780693e-08,9.871991557878098e-06,62.5,0.0,141.20075225830078,1.3690855767990989e-07,0,2.989067531416231e-07,4.358153108215872e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
