task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2024-05-28T23:17:18,Query expansion,b9bf553e-1e5a-4f51-865a-1cc92330b667,13.772299528121948,0.0001405182891296268,1.0207966137598119e-05,62.5,0.0,141.20075225830078,0.00023898298541704814,0,0.0005398655171138898,0.000778848502530938,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
find similar words,2024-05-28T23:17:19,Query expansion,b9bf553e-1e5a-4f51-865a-1cc92330b667,0.06443595886230469,6.354371609692047e-07,1.006992313476648e-05,62.5,0.0,141.20075225830078,1.09171287881004e-06,0,2.4303146404463898e-06,3.522027519256457e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
scan songs for similar words,2024-05-28T23:17:19,Query expansion,b9bf553e-1e5a-4f51-865a-1cc92330b667,0.11431384086608887,1.2589312367226565e-06,1.0179950495297446e-05,62.5,0.0,141.20075225830078,2.14524567127228e-06,0,4.832612617383333e-06,6.977858288655559e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
